sentence,entity1,entity1_label,entity2,entity2_label,relation
"CHRONOLOGICAL LIST OF KULA EVENTS WITNESSED BY THE WRITER First Expedition , August , 1914 - March , 1915 .",THE WRITER First Expedition,ORG,"1914 - March , 1915",DATE,
"CHRONOLOGICAL LIST OF KULA EVENTS WITNESSED BY THE WRITER First Expedition , August , 1914 - March , 1915 .",August,DATE,"1914 - March , 1915",DATE,
"March , 1915 .","March , 1915",DATE,,,
In the village of Dikoyas ( Woodlark Island ) a few ceremonial offerings seen .,Dikoyas,ORG,Woodlark Island,LOC,
"Second Expedition , May , 1915 - May , 1916 .",Second Expedition,ORG,"May , 1915 - May , 1916",DATE,
"June , 1915 .","June , 1915",DATE,,,
A Kabigidoya visit arrives from Vakuta to Kiriwina .,Kabigidoya,RITUAL,Vakuta,GPE,
A Kabigidoya visit arrives from Vakuta to Kiriwina .,Kabigidoya,RITUAL,Kiriwina,LOCATION,
A Kabigidoya visit arrives from Vakuta to Kiriwina .,Vakuta,GPE,Kiriwina,LOCATION,
"visit anchoring at Kavataria witnessed and the men seen at Omarakana , where information collected .",Kavataria,NORP,Omarakana,PERSON,
"July , 1915 .","July , 1915",DATE,,,
Several parties from Kitava land on the beach of Kaulukuba .,Kitava,LOCATION,Kaulukuba,GPE,
The men examined in Omarakana .,Omarakana,GPE,,,
"September , 1915 .","September , 1915",DATE,,,
"Unsuccessful attempt to sail to Kitava with To'uluwa , the chief of Omarakana .",Kitava,LOCATION,To'uluwa,NORP,
"Unsuccessful attempt to sail to Kitava with To'uluwa , the chief of Omarakana .",Kitava,LOCATION,chief,PERSON,
"Unsuccessful attempt to sail to Kitava with To'uluwa , the chief of Omarakana .",Kitava,LOCATION,Omarakana,GPE,
"Unsuccessful attempt to sail to Kitava with To'uluwa , the chief of Omarakana .",To'uluwa,NORP,chief,PERSON,
"Unsuccessful attempt to sail to Kitava with To'uluwa , the chief of Omarakana .",To'uluwa,NORP,Omarakana,GPE,
"Unsuccessful attempt to sail to Kitava with To'uluwa , the chief of Omarakana .",chief,PERSON,Omarakana,GPE,
"October - November , 1915 .","October - November , 1915",DATE,,,
Departure noticed of three expeditions from Kiriwina to Kitava .,Kiriwina,LOCATION,Kitava,LOCATION,
Each time To'uluwa brings home a haul of mwali ( armshells ) .,To'uluwa,NORP,mwali,OBJECT,
Each time To'uluwa brings home a haul of mwali ( armshells ) .,To'uluwa,NORP,armshells,PERSON,
Each time To'uluwa brings home a haul of mwali ( armshells ) .,mwali,OBJECT,armshells,PERSON,
"November , 1915 - March , 1916 .","November , 1915 - March",DATE,1916,DATE,
Preparations for a big overseas expedition from Kiriwina to the Marshall Bennett Islands .,Kiriwina,LOCATION,the Marshall Bennett Islands,ORG,
Construction of a canoe ; renovating of another ; sail making in Omarakana ; launching ; tasasoria on the beach of Kaulukuba .,Omarakana,GPE,tasasoria,EVENT,
Construction of a canoe ; renovating of another ; sail making in Omarakana ; launching ; tasasoria on the beach of Kaulukuba .,Omarakana,GPE,Kaulukuba,GPE,
Construction of a canoe ; renovating of another ; sail making in Omarakana ; launching ; tasasoria on the beach of Kaulukuba .,tasasoria,EVENT,Kaulukuba,GPE,
Some magical texts of canoe building and Kula magic obtained .,canoe building,LOC,Kula,EVENT,
"Third Expedition , October , 1917 - October , 1918 .",October,DATE,1917 - October,DATE,
"Third Expedition , October , 1917 - October , 1918 .",October,DATE,1918,DATE,
"Third Expedition , October , 1917 - October , 1918 .",1917 - October,DATE,1918,DATE,
"November , 1917 - December , 1917 .","November , 1917 - December , 1917",DATE,,,
Inland Kula ; some data obtained in Tukwaukwa .,Kula,EVENT,Tukwaukwa,GPE,
"December - February , 1918 .",December - February,DATE,1918,DATE,
Parties from Kitava arrive in Wawela .,Kitava,LOCATION,Wawela,GPE,
Collection of information about the yoyova .,yoyova,MYTHICAL_BEING,,,
Magic and spells of Kaygau obtained .,Kaygau,ORG,,,
"March , 1918 .","March , 1918",DATE,,,
Preparations in Sanaroa ; preparations in the Amphletts ; the Dobuan fleet arrives in the Amphletts .,Sanaroa,GPE,Amphletts,LOC,
Preparations in Sanaroa ; preparations in the Amphletts ; the Dobuan fleet arrives in the Amphletts .,Sanaroa,GPE,Dobuan,NORP,
Preparations in Sanaroa ; preparations in the Amphletts ; the Dobuan fleet arrives in the Amphletts .,Sanaroa,GPE,Amphletts,LOC,
Preparations in Sanaroa ; preparations in the Amphletts ; the Dobuan fleet arrives in the Amphletts .,Amphletts,LOC,Dobuan,NORP,
Preparations in Sanaroa ; preparations in the Amphletts ; the Dobuan fleet arrives in the Amphletts .,Amphletts,LOC,Amphletts,LOC,
Preparations in Sanaroa ; preparations in the Amphletts ; the Dobuan fleet arrives in the Amphletts .,Dobuan,NORP,Amphletts,LOC,
The uvalaku expedition from Dobu followed to Boyowa .,Dobu,LOCATION,Boyowa,GPE,
"April , 1918 .","April , 1918",DATE,,,
Preparations arrival ; Preparations reception in Sinaketa ; the Kula transactions ; the big intertribal gathering .,Sinaketa,GPE,Kula,EVENT,
"May , 1918 .","May , 1918",DATE,,,
Party from Kitava seen in Vakuta .,Kitava,LOCATION,Vakuta,GPE,
"June , July , 1918 .","June , July , 1918",DATE,,,
"Information about Kula magic and customs checked and amplified in Omarakana , especially with regard to Information Eastern branches .",Kula,EVENT,Omarakana,GPE,
"Information about Kula magic and customs checked and amplified in Omarakana , especially with regard to Information Eastern branches .",Kula,EVENT,Information Eastern,ORG,
"Information about Kula magic and customs checked and amplified in Omarakana , especially with regard to Information Eastern branches .",Omarakana,GPE,Information Eastern,ORG,
"August , September , 1918 .","August , September , 1918",DATE,,,
Magical texts obtained in Sinaketa .,Sinaketa,GPE,,,
"October , 1918 .","October , 1918",DATE,,,
Information obtained from a number of natives in Dobu and Southern Massim district ( examined in Samarai ) .,Dobu,LOCATION,Southern Massim,LOC,
Information obtained from a number of natives in Dobu and Southern Massim district ( examined in Samarai ) .,Dobu,LOCATION,Samarai,GPE,
Information obtained from a number of natives in Dobu and Southern Massim district ( examined in Samarai ) .,Southern Massim,LOC,Samarai,GPE,
"That is the reason why , working under such conditions as previously described , the Ethnographer is enabled to add something essential to the bare outline of tribal constitution , and to supplement Ethnographer by all the details of behaviour , setting and small incident .",Ethnographer,ORG,Ethnographer,PERSON,
"Indeed , if we remember that these imponderable yet all important facts of actual life are part of the real substance of the social fabric , that in facts are spun the innumerable threads which keep together the family , the clan , the village community , the tribe -- facts significance becomes clear .",the clan,ORG,,,
"The more crystallised bonds of social grouping , such as the definite ritual , the economic and legal duties , the obligations , the ceremonial gifts and formal marks of regard , though equally important for the student , are certainly felt less strongly by the individual who has to fulfil individual .",gifts,OBJECT,,,
"If in making a daily round of the village , certain small incidents , characteristic forms of taking food , of conversing , of doing work ( see for instance Plate III ) are found occurring over and over again , incidents should be noted down at once .",daily,DATE,Plate III,PERSON,
"In observing ceremonies or other tribal events , such , for instance as the scene depicted in Plate IV , it is necessary , not only to note down those occurrences and details which are prescribed by tradition and custom to be the essential course of the act , but also the Ethnographer ought to record carefully and precisely , one after the other , the actions of the actors and of the spectators .",Plate IV,FAC,Ethnographer,ORG,
"Again , in this type of work , it is good for the Ethnographer sometimes to put aside camera , note book and pencil , and to join in Ethnographer in what is going on .",Ethnographer,PERSON,,,
"I am not certain if this is equally easy for everyone -- perhaps the Slavonic nature is more plastic and more naturally savage than that of Western Europeans -- but though the degree of success varies , the attempt is possible for everyone .",Slavonic,LAW,Western Europeans,NORP,
"Besides the firm outline of tribal constitution and crystallised cultural items which form the skeleton , besides the data of daily life and ordinary behaviour , which are , so to speak , behaviour flesh and blood , there is still to be recorded the spirit -- the natives ' views and opinions and utterances .",daily,DATE,,,
"This latter point must certainly be granted , and point is perhaps the real Gordian knot in the study of the facts of social psychology .",Gordian,NORP,,,
"A man who lives within the sphere of the Kula can not become permanently and sentimentally attached to certain of man possessions , in spite of the fact that man values possessions most of all .",Kula,EVENT,,,
"The best ethnographical writers -- here again the Cambridge school with Haddon , Rivers , and Seligman rank first among English Ethnographers -- have always tried to quote verbatim statements of crucial importance .",the Cambridge school with,ORG,Seligman,PERSON,
"The best ethnographical writers -- here again the Cambridge school with Haddon , Rivers , and Seligman rank first among English Ethnographers -- have always tried to quote verbatim statements of crucial importance .",the Cambridge school with,ORG,English Ethnographers,NORP,
"The best ethnographical writers -- here again the Cambridge school with Haddon , Rivers , and Seligman rank first among English Ethnographers -- have always tried to quote verbatim statements of crucial importance .",Seligman,PERSON,English Ethnographers,NORP,
"In working in the Kiriwinian language , I found still some difficulty in writing down the statement directly in translation which at first I used to do in the act of taking notes .",Kiriwinian,NORP,,,
"As my knowledge of the language progressed , I put down more and more in Kiriwinian , till at last I found myself writing exclusively in that language , rapidly taking notes , word for word , of each statement .",Kiriwinian,GPE,,,
"This corpus inscriptionum Kiriwiniensium can be utilised , not only by myself , but by all those who , through those better penetration and ability of interpreting those , may find points which escape my attention , very much as the other corpora form the basis for the various interpretations of ancient and prehistoric cultures ; only , these ethnographic inscriptions are all decipherable and clear , have been almost all translated fully and unambiguously , and have been provided with native cross - commentaries or scholia obtained from living sources .",Kiriwiniensium,GPE,corpora,NORP,
The Corpus will of course be published separately at a later date .,Corpus,PERSON,a later date,DATE,
"imponderabilia have to be collected through minute , detailed observations , in the form of some sort of ethnographic diary , made possible by close contact with native life .",imponderabilia,GPE,,,
"These three lines of approach lead to the final goal , of which an Ethnographer should never lose sight .",Ethnographer,PERSON,,,
Perhaps as we read the account of these remote customs there may emerge a feeling of solidarity with the endeavours and ambitions of these natives .,solidarity,ORG,,,
"In this , and in this case only , we shall be justified in feeling that it has been worth our while to understand these natives , natives institutions and customs , and that we have gathered some profit from the Kula .",Kula,EVENT,,,
"I The tribes who live within the sphere of the Kula system of trading belong , one and all -- with the exception perhaps , of the Rossel Island natives , of whom we know next to nothing -- to the same racial group .",Kula,EVENT,Rossel Island,LOC,
"These tribes inhabit the easternmost end of the mainland of New Guinea and those islands , scattered in the form of the long - drawn archipelago , which continue in the same south - easternly trend as the mainland , as if to bridge over the gap between New Guinea and the Solomons .",New Guinea,GPE,New Guinea,GPE,
"New Guinea is a mountainous island - continent , very difficult of access in Guinea interior , and also at certain portions of the coast , where barrier reefs , swamps and rocks practically prevent landing or even approach for native craft .",New Guinea,GPE,Guinea,GPE,
Such a country would obviously not offer the same opportunities in all country parts to the drifting migrations which in all probability are responsible for the composition of the present population of the South Seas .,the South Seas,LOC,,,
The actual distribution of races in New Guinea completely justifies these hypotheses .,New Guinea,GPE,,,
Map II shows the Eastern part of the main island and archipelagoes of New Guinea and the racial distribution of the natives .,Eastern,ORG,New Guinea,GPE,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",sago,OBJECT,the Gulf of Papua,LOC,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",sago,OBJECT,the North Coast,LOC,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",sago,OBJECT,the South - West Coast,LOC,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",sago,OBJECT,New Guinea,GPE,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",sago,OBJECT,Seligman Papuan,PERSON,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the Gulf of Papua,LOC,the North Coast,LOC,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the Gulf of Papua,LOC,the South - West Coast,LOC,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the Gulf of Papua,LOC,New Guinea,GPE,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the Gulf of Papua,LOC,Seligman Papuan,PERSON,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the North Coast,LOC,the South - West Coast,LOC,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the North Coast,LOC,New Guinea,GPE,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the North Coast,LOC,Seligman Papuan,PERSON,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the South - West Coast,LOC,New Guinea,GPE,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",the South - West Coast,LOC,Seligman Papuan,PERSON,
"The interior of the continent , the low sago swamps and deltas of the Gulf of Papua -- probably the greater part of the North Coast and of the South - West Coast of New Guinea , are inhabited by a "" relatively tall , dark - skinned , frizzly - haired "" race , called by Dr. Seligman Papuan , and in the hills more especially by pygmy tribes .",New Guinea,GPE,Seligman Papuan,PERSON,
"As we shall also not meet autochtons in the following account , it will be better to pass to the tribes who inhabit the accessible parts of New Guinea . """,New Guinea,GPE,,,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",New Guinea,GPE,Guinea,GPE,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",New Guinea,GPE,Melanesian,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",New Guinea,GPE,Melanesians,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",New Guinea,GPE,Melanesians,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",New Guinea,GPE,Papuo - Melanesians,PRODUCT,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Guinea,GPE,Melanesian,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Guinea,GPE,Melanesians,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Guinea,GPE,Melanesians,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Guinea,GPE,Papuo - Melanesians,PRODUCT,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Melanesian,NORP,Melanesians,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Melanesian,NORP,Melanesians,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Melanesian,NORP,Papuo - Melanesians,PRODUCT,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Melanesians,NORP,Melanesians,NORP,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Melanesians,NORP,Papuo - Melanesians,PRODUCT,
"The Eastern Papuasians , that is , the generally smaller , lighter coloured , frizzly - haired races of the eastern peninsula of New Guinea and Guinea archipelagoes now require a name , and since the true Melanesian element is dominant in Melanesians , Melanesians may be called Papuo - Melanesians .",Melanesians,NORP,Papuo - Melanesians,PRODUCT,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",A. C. Haddon,PERSON,Melanesians,NORP,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",A. C. Haddon,PERSON,Guinea,GPE,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",A. C. Haddon,PERSON,Melanesian,NORP,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",A. C. Haddon,PERSON,New Guinea,GPE,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",Melanesians,NORP,Guinea,GPE,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",Melanesians,NORP,Melanesian,NORP,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",Melanesians,NORP,New Guinea,GPE,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",Guinea,GPE,Melanesian,NORP,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",Guinea,GPE,New Guinea,GPE,
"With regard to these Eastern Papuasians , Dr. A. C. Haddon first recognised that Melanesians came into the Guinea as the result of a ' Melanesian migration into New Guinea , ' and further , ' That a single wandering would not account for certain puzzling facts . '",Melanesian,NORP,New Guinea,GPE,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",""" The Papuo - Melanesians",WORK_OF_ART,Western,NORP,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",""" The Papuo - Melanesians",WORK_OF_ART,Eastern,ORG,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",""" The Papuo - Melanesians",WORK_OF_ART,Seligman,PERSON,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",""" The Papuo - Melanesians",WORK_OF_ART,Melanesians,NORP,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",Western,NORP,Eastern,ORG,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",Western,NORP,Seligman,PERSON,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",Western,NORP,Melanesians,NORP,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",Eastern,ORG,Seligman,PERSON,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",Eastern,ORG,Melanesians,NORP,
""" The Papuo - Melanesians again can be divided into two groups , a Western and an Eastern one , which , following Dr. Seligman 's terminology , we shall call the Western Papuo - Melanesians and the Massim respectively .",Seligman,PERSON,Melanesians,NORP,
"If we glance at a map and follow the orographical features of Eastern New Guinea and map coast line , we see at once that the high main range of mountains drops off between the 149th and 150th meridians , and again that the fringing reef disappears at the same point , that is , at the west end of Orangerie Bay .",Eastern New Guinea,LOC,Orangerie Bay,LOC,
"This means that the extreme East End of New Guinea , with End archipelagoes , in other words , the Massim Guinea , is the most easily accessible area , and might be expected to be inhabited by a homogeneous stock of people , consisting of immigrants almost unmixed with the autochtons ( Cf .",East,LOC,New Guinea,GPE,
"Indeed , while the condition actually existing in the Massim area suggests that there was no slow mingling of the invaders with a previous stock , the geographical features of the territory of the Western Papuo - Melanesians with stock hills , mountains and swamps , are such that invaders could not have speedily overrun the country , nor failed to have been influenced by the original inhabitants ... "" I shall assume that the reader is acquainted with the quoted work of Dr. Seligman , where a thorough account is given of all the main types of Papuo - Melanesian sociology and culture one after the other .",Seligman,PERSON,Papuo,NORP,
"Indeed , while the condition actually existing in the Massim area suggests that there was no slow mingling of the invaders with a previous stock , the geographical features of the territory of the Western Papuo - Melanesians with stock hills , mountains and swamps , are such that invaders could not have speedily overrun the country , nor failed to have been influenced by the original inhabitants ... "" I shall assume that the reader is acquainted with the quoted work of Dr. Seligman , where a thorough account is given of all the main types of Papuo - Melanesian sociology and culture one after the other .",Seligman,PERSON,Melanesian,NORP,
"Indeed , while the condition actually existing in the Massim area suggests that there was no slow mingling of the invaders with a previous stock , the geographical features of the territory of the Western Papuo - Melanesians with stock hills , mountains and swamps , are such that invaders could not have speedily overrun the country , nor failed to have been influenced by the original inhabitants ... "" I shall assume that the reader is acquainted with the quoted work of Dr. Seligman , where a thorough account is given of all the main types of Papuo - Melanesian sociology and culture one after the other .",Papuo,NORP,Melanesian,NORP,
